task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",9,7,9,10,10,9,9,10,10,2,10,10,1,Diachronic frequency trajectory extraction from COHA/COCA is straightforward via the BYU corpus interface or API.,Normalised frequency trajectories across decades are a primary evidence source for lexical and cultural change studies.,"Current AI can query COHA/COCA, normalise frequencies per decade, and plot trajectories fully automatically.",This will be fully automated within a decade as public corpus APIs and data exports improve.,"The task is purely data-retrieval and normalisation, giving theoretical maximum replaceability of 10.",Davies (2012) describes the COHA structure and normalisation procedure with sufficient detail for automated parsing.,Decade boundaries and normalisation base (per million words) are always reported in COHA/COCA studies.,Frequency extraction and normalisation are deterministic operations on fixed corpus data.,"COHA/COCA have web interfaces, APIs, and bulk data exports; Python corpus wrappers enable automated retrieval.",No interpretive judgement is needed for the frequency extraction and plotting step.,Trajectory plots and normalised frequency tables can be numerically compared against published COHA/COCA figures.,Systematic variation of time-slice width or corpus sub-register maps sensitivity of frequency trajectories.,Automated comparison of frequency tables against published COHA output keeps verification cost very low.
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",6,9,8,10,10,8,7,9,9,4,9,9,3,"Semantic change detection via co-occurrence shift requires building diachronic word vectors, demanding computational expertise.",Detecting semantic change from distributional shifts is a high-impact method bridging computational and historical linguistics.,"Current AI can train diachronic embeddings and measure cosine shifts, but interpreting what change 'means' remains limited.",Neural diachronic models will improve automated semantic-change characterisation substantially within a decade.,Theoretical maximum is slightly below 10 because characterising the direction and content of semantic change retains interpretive residual.,Hamilton et al. (2016) provide algorithmic detail on diachronic embedding alignment and cosine change measurement.,"Embedding dimension, alignment method, and time-slice boundaries are reported, but training data sizes are sometimes implicit.",Cosine change scores are deterministic for a fixed embedding model and training data; different seeds introduce minor variance.,"gensim, transformers, and specialised diachronic-embedding packages (e.g., hist-word2vec) provide adequate toolchain coverage.",Moderate interpretive effort is needed to label what specific semantic change a cosine shift represents.,Cosine change rankings can be compared against published semantic-shift leaderboards for standard test sets.,Systematically varying embedding parameters and time-slice boundaries maps sensitivity of detected change signals.,"Verification requires human semantic interpretation of top-shifting words, adding moderate audit overhead."
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",6,9,8,10,10,8,7,9,8,4,9,8,3,"Biber-style factor score computation requires running a multi-feature tagger and applying pre-specified factor loadings, which is complex.",Biber's Multi-Dimensional Analysis is foundational for register research and is widely used across linguistics and applied linguistics.,Current AI can run MAT (Multi-dimensional Analysis Tagger) or equivalent and compute factor scores automatically.,Full automation of Biber-style MD analysis will be standard in corpus platforms within a decade.,"The task is fully specifiable given Biber's published factor loadings and a feature tagger, giving high theoretical maximum.",Biber (1988) provides factor loadings and feature list; the MAT tagger implements these algorithmically.,"Factor loadings and linguistic features are published in Biber (1988), enabling reproducible computation.",Factor scores are deterministic given fixed feature counts and loadings; tagger version introduces minor variability.,The MAT tagger and Biber's R scripts are available tools covering end-to-end factor-score computation.,Moderate interpretive effort is needed to label extracted factors and justify their linguistic interpretation.,Replication is verifiable by comparing per-text factor scores against published dimension-score tables.,Varying feature counts or factor weights maps sensitivity of factor score profiles across text types.,Human review of factor labelling and anomalous scores adds moderate audit overhead.
"Register comparison via MD dimension scores (e.g., Dimension 1: Involved vs. Informational)",Multi-Dimensional Analysis,"Biber, D., & Conrad, S. (2009). Register, genre, and style. Cambridge University Press.",6,8,7,9,9,7,6,8,8,6,8,8,4,"MD dimension score comparison requires running the MAT tagger and performing statistical tests, which is moderately demanding.",Comparing register profiles on Biber's dimensions is central to register theory and widely applied in corpus research.,Current AI can compute dimension scores per register and run statistical comparisons with moderate but imperfect coverage.,Improved register-tagging pipelines will push automation to near-full within a decade.,Theoretical maximum is slightly below 10 because register-label assignment and dimension interpretation retain interpretive elements.,Biber & Conrad (2009) describe the dimension-score comparison procedure with sufficient methodological detail.,"Dimension scores and register memberships are typically reported, allowing AI to reproduce the comparison.",Dimension score computations are deterministic given fixed feature counts; statistical tests are deterministic given fixed data.,MAT tagger and statistical testing packages in R provide end-to-end toolchain for dimension-score comparison.,Moderate interpretive judgement is needed to contextualise why registers differ on specific dimensions.,Replication is verifiable by comparing mean dimension scores per register against published MD tables.,Systematically varying register boundaries or feature weightings maps sensitivity of dimension score contrasts.,Human review of linguistic interpretation of dimension contrasts adds moderate verification overhead.
Filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups),Corpus Phonology / Spoken Corpus,"Tottie, G. (2011). Uh and um as sociolinguistic markers in British English. International Journal of Corpus Linguistics, 16(2), 173–197.",8,7,9,10,10,9,9,10,9,2,10,10,2,"Filled pause profiling requires counting uh/um tokens from a tagged spoken corpus, which is feasible for trained researchers.",Filled pause frequency profiling is central to spoken corpus sociolinguistics and informs models of speech production.,Current AI can count uh/um tokens per speaker group from tagged spoken corpora fully automatically.,Full automation of spoken corpus token counting will be standard within a decade as spoken corpus APIs mature.,"Given a tagged corpus, uh/um counting is entirely deterministic and fully automatable.",Tottie (2011) describes the token identification procedure with sufficient precision for automated parsing.,"Token definitions, speaker group categories, and normalisation base are explicitly reported in this research tradition.",Token counts per 1000 words are deterministic given consistent tokenisation and speaker metadata.,CLAWS-tagged BNC and Python corpus tools enable automated uh/um token counting across speaker groups.,No interpretive judgement is required; the task is pure token counting and normalisation.,Replication is verifiable by exact numerical match of per-group uh/um rates against published tables.,Systematically varying speaker group criteria or normalisation base maps sensitivity of filled-pause rate estimates.,"Verification reduces to automated comparison of frequency tables, costing minimal human time."
Turn-taking pattern frequency analysis (overlap and latency distributions),Corpus Phonology / Spoken Corpus,"Stivers, T., Enfield, N. J., Brown, P., Englert, C., Hayashi, M., Heinemann, T., … Levinson, S. C. (2009). Universals and cultural variation in turn-taking in conversation. PNAS, 106(26), 10587–10592.",5,7,6,9,9,7,6,8,7,5,8,8,4,"Turn-taking analysis requires aligned transcripts with overlap/latency annotations, making this technically demanding.",Turn-taking pattern quantification provides quantitative evidence for interactional universals and is significant for pragmatics research.,"Current AI can measure overlap frequency and inter-turn latency from aligned transcripts, but accurate boundary detection varies.",Improved speech-alignment and turn-detection models will substantially automate this task within a decade.,Theoretical maximum is slightly below 10 because ambiguous turn boundaries may always require some human coding.,"Stivers et al. (2009) describe latency and overlap coding procedures, but exact boundary criteria vary across coders.","Latency thresholds and overlap definitions are stated in the study, but inter-coder agreement is imperfect.","Latency measurements are deterministic given aligned audio, but overlap detection involves threshold decisions.",ELAN annotation software and force-aligned transcripts provide toolchain support; fully automated pipelines are incomplete.,Moderate judgement is needed to classify ambiguous turn boundaries and interpret distributional patterns cross-linguistically.,Published latency distributions can be compared against AI-extracted distributions statistically.,Varying latency/overlap thresholds systematically maps sensitivity of turn-taking statistics to coding decisions.,Human re-coding of ambiguous turns adds moderate verification overhead compared to purely text-based tasks.
Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon),Sentiment / Stance Corpus,"Pennebaker, J. W., Boyd, R. L., Jordan, K., & Blackburn, K. (2015). The development and psychometric properties of LIWC2015. University of Texas at Austin.",9,7,10,10,10,9,9,10,10,2,10,10,1,"LIWC-based sentiment frequency analysis is a point-and-click tool operation, trivially feasible for any researcher.","LIWC provides a standardised, widely used operationalisation of psychological text dimensions cited across thousands of studies.",Current AI can apply LIWC dictionaries to corpora and return category frequency tables fully automatically.,Full automation is already achieved; this will remain trivially automatable within a decade.,"Dictionary lookup and frequency counting are fully deterministic and automatable, giving theoretical maximum replaceability of 10.",Pennebaker et al. (2015) and LIWC documentation fully specify the dictionary and scoring procedure.,"LIWC category memberships, normalisation, and version are always reported in publications using this method.",LIWC scoring is deterministic word-lookup and counting with no stochastic element.,LIWC software and Python LIWC wrappers provide complete end-to-end toolchain coverage.,No interpretive judgement is needed for the scoring step; all categories are pre-defined in the fixed lexicon.,LIWC category frequencies can be exactly matched against published tables from the same corpus.,Systematically varying LIWC version or dictionary scope maps sensitivity of sentiment frequency findings.,"Verification is automated comparison of category frequency tables, costing negligible human time."
Epistemic stance marker frequency comparison (hedges and boosters across genres),Sentiment / Stance Corpus,"Hyland, K. (1998). Hedging in scientific research articles. John Benjamins.",7,8,7,9,9,7,7,8,8,5,8,8,4,"Epistemic stance marker frequency comparison requires defining a hedge/booster list and running frequency queries, which is feasible.",Quantifying epistemic stance across genres is central to academic discourse analysis and EAP corpus research.,Current AI can apply hedge/booster word lists to corpora and compute genre-comparative frequencies automatically.,Improved stance-tagging models will push automation to near-full within a decade.,Theoretical maximum is slightly below 10 because stance marker identification requires a subjective lexicon boundary decision.,"Hyland (1998) provides explicit hedge and booster lists, enabling automated dictionary application.","Hedge and booster word lists and genre definitions are published in Hyland's research, enabling reproducible extraction.",Frequency counts are deterministic given a fixed word list and tokenised corpus; list boundary decisions introduce minor variability.,Corpus query tools and Python frequency counters apply word-list lookups end-to-end without specialist tooling.,Moderate judgement is needed to decide which lexical items qualify as hedges or boosters in context.,Genre-comparative frequency tables can be numerically compared against Hyland's published tables.,Systematically varying word-list membership or genre boundaries maps sensitivity of stance-marker frequency contrasts.,Human review of borderline stance markers and genre-assignment decisions adds moderate verification overhead.
Lexical bundle extraction (Biber-style),Phraseology,"Biber, D., Conrad, S., & Cortes, V. (2004). If you look at…: Lexical bundles in university teaching and textbooks. Applied Linguistics, 25(3), 371–405.",8,8,9,10,10,9,9,10,10,2,10,10,2,Lexical bundle extraction with frequency and range thresholds is a standard corpus task in AntConc or SketchEngine.,Biber-style lexical bundles are foundational units in phraseology research and applied linguistics pedagogy.,Current AI can extract all n-gram sequences meeting frequency and range criteria fully automatically.,Full automation is already essentially achievable and will be standard in all corpus platforms within a decade.,"Bundle extraction is a purely enumerative threshold-based procedure, giving theoretical maximum replaceability of 10.","Biber et al. (2004) specify frequency thresholds, range criteria, and n-gram size with full reproducibility.","Frequency threshold, range minimum, and bundle length are explicitly reported in all Biber-style bundle studies.",N-gram frequency and range counts are deterministic given a fixed corpus and tokenisation.,"AntConc, SketchEngine, and Python n-gram counters implement bundle extraction natively.",No interpretive judgement is needed for the extraction step; thresholds determine bundle membership mechanically.,Bundle lists can be exactly matched against published bundle inventories from the same corpus.,Systematically varying frequency and range thresholds maps sensitivity of extracted bundle inventories.,Automated list comparison against published bundle tables keeps verification cost minimal.
Phraseological frame profiling (p-frames / skipgrams),Phraseology,"Gray, B., & Biber, D. (2013). Lexical frames in academic prose and conversation. International Journal of Corpus Linguistics, 18(1), 109–136.",6,7,8,9,9,8,7,9,8,4,8,8,3,Phraseological frame profiling using skipgrams requires specialised tooling but is feasible for computationally skilled researchers.,"P-frame analysis extends fixed bundle research to flexible phraseological patterns, representing a methodological advance.","Current AI can extract skipgram frames using flexible pattern matching, though frame-definition precision varies.",Improved skipgram and frame-extraction tools will make this fully automated within a decade.,Theoretical maximum is slightly below 10 because frame-slot boundary decisions retain a minor definitional subjective element.,Gray & Biber (2013) describe the skipgram extraction procedure with sufficient detail for automated implementation.,"Frame templates and frequency thresholds are reported, though slot-filling criteria may need operationalisation.",Skipgram frequency counts are deterministic given a fixed frame template and corpus.,"Python n-gram and skipgram libraries (e.g., scikit-learn) handle frame extraction; corpus-specific wrappers exist.",Minor interpretive effort is needed to define frame slots and classify extracted patterns linguistically.,Replication is verifiable by comparing extracted frame lists and frequencies against published p-frame inventories.,Varying skipgram window or frequency threshold maps sensitivity of frame inventory to parameter choices.,Human review of frame-slot definitions and borderline patterns adds moderate verification overhead.
Colligation profiling,Grammar–Lexis Interface,"Hoey, M. (2005). Lexical priming: A new theory of words and language. Routledge.",6,7,6,9,9,7,6,8,8,6,7,7,4,"Colligation profiling requires querying grammatical co-occurrences around a target, feasible for researchers with parser access.",Colligation analysis is a core component of the lexical-priming framework and informs both theory and lexicography.,"Current AI can extract POS-based co-occurrence profiles automatically, though construction identification adds complexity.",Decade-ahead improvements in dependency parsing and construction detection will push automation close to full.,Theoretical maximum is slightly below 10 because definitional boundaries of 'colligation' versus 'collocation' remain contested.,"Hoey (2005) describes colligation conceptually, but operationalisation of POS window and threshold varies across studies.","POS window and frequency parameters are sometimes underspecified, requiring reasonable default choices.",POS frequency counts around a target are deterministic given a fixed parser and window definition.,spaCy and NLTK provide POS tagging; corpus query tools support POS-constrained co-occurrence extraction.,Moderate interpretive judgement is needed to label colligational tendencies and distinguish salient patterns from noise.,Replication is partially verifiable by comparing POS frequency profiles against published colligational descriptions.,Varying window size or POS category granularity maps sensitivity of colligational profiles.,Human expert review of POS profiles to validate colligational claims adds moderate verification overhead.
Semantic preference profiling,Grammar–Lexis Interface,"Sinclair, J. (1991). Corpus, concordance, collocation. Oxford University Press.",5,7,6,8,8,6,5,7,7,7,7,7,5,"Semantic preference profiling requires manual concordance reading combined with semantic categorisation, making it quite demanding.","Semantic preference is a key concept in the neo-Firthian framework, revealing the semantic domain of a word's associates.",Current AI can cluster collocates by semantic field semi-automatically but lacks reliable holistic preference labelling.,LLM-powered semantic clustering will substantially improve automated preference detection within a decade.,Theoretical maximum is limited because semantic domain labelling retains inherent human-judgement residual.,"Sinclair (1991) describes semantic preference conceptually, but no fully formalised extraction algorithm is provided.",The semantic categories and frequency thresholds for preference identification are rarely made fully explicit.,"Semantic categorisation of collocates is non-deterministic, varying across analysts and semantic resources used.","WordNet and USAS provide partial toolchain coverage, but integrated semantic-preference pipelines are immature.",High interpretive load: identifying consistent semantic preferences across many collocates requires expert holistic reading.,"Published semantic preference descriptions can be partially verified against AI category assignments, but agreement metrics are weak.",Varying the semantic resource (WordNet vs. USAS) maps how resource choice affects identified preference domains.,Human re-reading of collocate lists to validate AI semantic categories incurs relatively high verification cost.
Textual collocation network mapping,Grammar–Lexis Interface,"Hoey, M. (2005). Lexical priming: A new theory of words and language. Routledge.",6,7,7,9,9,7,6,8,8,5,8,8,4,"Building textual collocation networks requires iterative co-occurrence extraction and graph construction, demanding technical skills.","Collocation network mapping reveals lexical clustering and thematic structure, advancing phraseological and discourse research.","Current AI can extract co-occurrence pairs and build network graphs automatically, though community detection varies.",Improved graph-analytics and corpus-network tools will automate this end-to-end within a decade.,Theoretical maximum is slightly below 10 because network community labelling and interpretation retain interpretive residual.,"Hoey (2005) describes the priming-based rationale, but network construction parameters are often researcher-defined.","Edge weight thresholds and network-construction criteria are sometimes underspecified, requiring implementation choices.",Graph construction from co-occurrence matrices is deterministic given fixed thresholds; community detection algorithms vary.,"NetworkX, igraph, and Gephi provide mature toolchains for corpus network construction and visualisation.",Moderate interpretive effort is needed to label communities and explain network topology linguistically.,"Network topology metrics (degree, clustering coefficient) can be compared against published network statistics.",Systematically varying edge-weight thresholds or community-detection algorithms maps network sensitivity.,Human review of community labels and network interpretation adds moderate verification overhead.
Parallel corpus alignment and translation equivalence extraction,Corpus-Based Translation Studies,"Tiedemann, J. (2011). Bitext alignment. Morgan & Claypool.",7,8,9,10,10,8,8,9,9,3,9,9,2,"Parallel corpus sentence alignment and translation-equivalent extraction require alignment tools and bilingual corpora, moderately demanding.",Extracting translation equivalents at scale is foundational to translation studies corpora and multilingual NLP resource creation.,"Current AI alignment tools (Hunalign, GIZA++) automate sentence alignment and equivalent extraction with high accuracy.",Full automation is already largely achieved; next-decade neural aligners will be near-perfect.,Theoretical maximum is very high; some residual error in non-compositional translation equivalents limits perfect replaceability.,Tiedemann (2011) fully specifies sentence-alignment algorithms with reproducible parameter descriptions.,"Alignment parameters (e.g., Hunalign thresholds) and corpus metadata are reported in most parallel corpus papers.",Alignment outputs are deterministic for a fixed aligner version and corpus; different aligner versions introduce minor variability.,"Hunalign, GIZA++, Moses, and Opus provide mature end-to-end alignment and equivalent extraction pipelines.",Minimal interpretive judgement needed; alignment quality is assessed computationally with precision/recall metrics.,Alignment accuracy can be objectively evaluated against gold-standard human-aligned test sets.,Varying aligner thresholds or algorithm choice maps sensitivity of alignment coverage and precision.,"Verification against gold-standard alignments is automated, requiring minimal human review."
"Translation universals testing (simplification, explicitation, normalisation)",Corpus-Based Translation Studies,"Baker, M. (1993). Corpus linguistics and translation studies: Implications and applications. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 233–250). John Benjamins.",6,8,6,9,9,6,5,7,7,7,7,7,5,"Testing translation universals requires building a translated corpus, computing multiple metrics, and interpreting trends, which is demanding.","Translation universals research tests fundamental hypotheses about translated language, making it theoretically significant.","Current AI can compute type-token ratios, sentence-length profiles, and explicitation metrics automatically, but interpretation lags.",Improved translation-corpus pipelines will automate the computational steps fully within a decade.,Theoretical maximum is slightly below 10 because characterising which patterns constitute genuine universals retains interpretive residual.,Baker (1993) outlines the translation universals hypotheses but does not specify a single agreed operationalisation.,"Metric operationalisations (e.g., which connectives count as explicitation) are often researcher-defined rather than standardised.","Simplification and explicitation metrics vary in definition across studies, introducing non-determinism at the operationalisation level.","Corpus frequency tools, TTR scripts, and cohesion-marker lists provide partial toolchain coverage.",Moderate interpretive judgement is needed to decide which empirical patterns constitute evidence for a universal.,Individual metrics can be numerically verified; overall universal-status claims are harder to evaluate objectively.,Varying metric definitions maps sensitivity of 'universal' detection to operationalisation choices.,Human expert review of metric choices and interpretive conclusions adds moderate verification overhead.
TTR and MTLD comparison across text types,Lexical Richness / Variation,"McCarthy, P. M., & Jarvis, S. (2010). MTLD, vocd-D, and HD-D: A validation study of sophisticated approaches to lexical diversity assessment. Behavior Research Methods, 42(2), 381–392.",9,7,10,10,10,9,9,10,10,2,10,10,1,TTR and MTLD computation are simple frequency operations executable with any text-analysis library or even a spreadsheet.,TTR and MTLD are standard lexical diversity benchmarks widely used in applied linguistics and language assessment.,Current AI can compute TTR and MTLD across text types fully automatically from raw text files.,Full automation is already achieved and will remain trivially automatable within a decade.,"Both metrics are closed-form algorithms fully specifiable from raw text, giving theoretical maximum replaceability of 10.",McCarthy & Jarvis (2010) fully specify the MTLD and vocd algorithms with reproducible parameters.,"Text type definitions and metric parameters (e.g., MTLD factor threshold) are always reported in published studies.",TTR and MTLD computations are deterministic given fixed tokenisation and text boundaries.,"Python textstat, lexicalrichness, and R koRpus packages implement TTR and MTLD natively.",No interpretive judgement is needed; the metrics are purely computational.,Metric values can be exactly compared against published per-text or per-group tables for verification.,Systematically varying text length or MTLD factor threshold maps sensitivity of lexical diversity estimates.,Automated numerical comparison against published tables keeps verification cost negligible.
Automatic term extraction (C-value / NC-value),Terminology Extraction,"Frantzi, K., Ananiadou, S., & Mima, H. (2000). Automatic recognition of multi-word terms: The C-value/NC-value method. International Journal on Digital Libraries, 3(2), 115–130.",8,8,9,10,10,9,8,10,9,2,9,9,2,"C-value/NC-value term extraction requires a POS tagger and frequency counter, which is feasible with standard NLP tools.","Automatic term extraction is important for terminology research, ontology building, and specialised corpus lexicography.",Current AI can run C-value/NC-value pipelines fully automatically from domain corpora using existing implementations.,Full automation is already largely achievable; next-decade improvements in domain adaptation will perfect it.,"The C-value algorithm is fully specified, giving very high theoretical maximum replaceability with minor residual for term validation.",Frantzi et al. (2000) specify the C-value formula and NC-value context-weight procedure reproducibly.,"Frequency threshold, POS filter, and context-weight parameters are reported in the original paper.",C-value and NC-value computations are deterministic given a fixed POS tagger and frequency threshold.,Java and Python implementations of C-value are available; TermSuite and other term extraction tools implement it.,Minimal interpretive judgement needed for extraction; domain expert validation of final term candidates adds minor load.,Extracted term lists can be compared against published C-value ranked lists from the same corpus.,Varying frequency thresholds and POS filters maps sensitivity of extracted term inventories.,Human domain-expert review of borderline term candidates adds minor verification overhead.
MIPVU metaphor identification on corpus data,Corpus-Based Metaphor Studies,"Steen, G. J., Dorst, A. G., Herrmann, J. B., Kaal, A. A., Krennmayr, T., & Pasma, T. (2010). A method for linguistic metaphor identification: From MIP to MIPVU. John Benjamins.",4,8,4,7,8,5,5,4,5,9,5,5,8,"MIPVU metaphor identification requires trained annotators applying a detailed four-step procedure to every word, which is very labour-intensive.","MIPVU provides the most rigorous and widely adopted procedure for corpus-based metaphor annotation, central to metaphor research.","Current AI can flag potential metaphors using sense-disambiguation heuristics, but MIPVU step-by-step decision making is largely unreplicated.",LLM-assisted metaphor annotation will improve substantially in the next decade but may not fully replicate the four-step MIPVU procedure.,Theoretical maximum is constrained by the inherent subjectivity of the 'more basic meaning' criterion in the MIPVU decision tree.,"Steen et al. (2010) specify the MIPVU procedure in detail, but applying the four steps requires contextual semantic judgement.","The MIPVU decision steps are published, but many intermediate criteria rely on world knowledge not fully specifiable computationally.","Different annotators applying MIPVU to the same text typically achieve inter-rater agreement well below 100%, indicating non-determinism.",No mature automated MIPVU pipeline exists; partial tools use WSD or metaphor lexicons but do not follow MIPVU exactly.,Very high interpretive load: every content word requires a contextual basic-meaning comparison against dictionary senses.,Annotation output can be compared against published MIPVU gold-standard corpora to estimate agreement.,Varying the 'basic meaning' resource (WordNet vs. MRC) maps sensitivity of metaphor-rate estimates.,"Expert re-annotation of a sample to verify AI MIPVU labels is time-intensive, incurring high verification cost."
LDA topic modelling for corpus exploration,Computational Corpus Exploration,"Brookes, G., & McEnery, T. (2019). The utility of topic modelling for discourse studies: A critical evaluation. Discourse Studies, 21(1), 3–21.",8,7,9,10,9,7,6,7,9,5,7,8,3,"LDA topic modelling requires setting model parameters and interpreting output topics, demanding both technical and linguistic expertise.","LDA is a widely used exploratory tool for large corpus summarisation, bridging computational and discourse-analytical corpus work.","Current AI can train LDA models and extract topic-word distributions automatically, though topic labelling remains AI-challenging.","Decade-ahead neural topic models (BERTopic, CTM) will automate topic modelling and labelling more reliably.",Theoretical maximum is slightly below 10 because meaningful topic labelling retains an irreducible human interpretive step.,"Brookes & McEnery (2019) describe LDA application to discourse corpora, but number-of-topics selection is corpus-dependent.","Number of topics (K), alpha/beta hyperparameters, and stopword lists are often but not always fully reported.","LDA output varies across random seeds; different K values produce different (valid) topic solutions, reducing determinism.","Gensim, scikit-learn, and Mallet provide mature LDA implementations covering end-to-end topic modelling.",Moderate interpretive effort is needed to label extracted topics and assess their discourse significance.,"Topic coherence scores (e.g., C_v) provide partial objective evaluation; full discourse interpretation requires expert review.",Systematically varying K and hyperparameters produces topic sensitivity profiles over the corpus.,Human topic labelling and coherence review add moderate verification overhead beyond automated coherence metrics.
Effect-size-based keyness meta-analysis (Log Ratio / %DIFF),Keyness Meta-Analysis,"Hardie, A. (2014). Log Ratio: An informal introduction [Blog post]. ESRC Centre for Corpus Approaches to Social Science (CASS).",8,7,9,10,10,9,9,10,10,2,10,10,2,Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) is straightforward for researchers familiar with basic statistics.,"Effect-size keyness measures address statistical significance inflation in large corpora, advancing methodological rigour in corpus research.",Current AI can compute Log Ratio and %DIFF for all vocabulary items fully automatically from frequency tables.,Full automation is already achievable and will remain trivially automatable within a decade.,"These are closed-form formulas applied to frequency tables, giving theoretical maximum replaceability of 10.",Hardie (2014) defines Log Ratio precisely and %DIFF is fully specified in Gabrielatos & Marchi (2012).,Corpus frequencies and sizes needed for these measures are always reported in keyness studies.,Log Ratio and %DIFF are deterministic floating-point functions of frequency counts.,Python pandas and R base functions compute these measures in a single line from a frequency data frame.,No interpretive judgement is needed for the numeric computation step.,Ranked lists can be exactly compared against published keyness tables for verification.,Systematically varying frequency floors maps how effect-size keyness rankings change under different minimum-frequency thresholds.,Automated comparison of effect-size-ranked keyword lists against published output keeps verification cost negligible.
Register-feature co-occurrence network analysis,Register / Genre Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",6,7,8,9,9,7,7,8,8,5,8,8,3,"Register-feature co-occurrence network construction requires POS-tagged corpora and graph-construction tools, which are moderately demanding.","Co-occurrence networks of register features reveal structural dependencies in register variation, advancing register theory.","Current AI can compute feature co-occurrences, build adjacency matrices, and generate network graphs automatically.",Improved register-feature extraction combined with graph-analytics APIs will automate this fully within a decade.,Theoretical maximum is slightly below 10 because network community labelling and register interpretation retain interpretive residual.,Brezina et al. (2015) describe network construction for collocations; adaptation to register features requires methodological extension.,Feature extraction parameters and edge-weight thresholds are sometimes underspecified for register network tasks.,Co-occurrence matrix construction is deterministic; community-detection algorithms introduce minor run-to-run variability.,"NetworkX, igraph, and the R qgraph package provide end-to-end toolchain coverage for network construction and analysis.",Moderate interpretive effort is needed to label network communities and connect them to register-theoretical constructs.,"Network topology statistics (modularity, degree distribution) can be compared against published network summaries.",Varying edge-weight thresholds or community-detection algorithms maps sensitivity of network structure to parameter choices.,Human review of community labels and topology interpretation adds moderate verification overhead.
Collexeme analysis (construction–lexeme attraction),Collostructional Analysis,"Stefanowitsch, A., & Gries, S. Th. (2003). Collostructions: Investigating the interaction of words and constructions. International Journal of Corpus Linguistics, 8(2), 209–243.",7,9,9,10,10,9,9,10,9,3,10,10,2,"Collexeme analysis requires frequency extraction, Fisher's exact test computation, and effect-size ranking, which is feasible with R or Python.",Collexeme analysis is the dominant quantitative method for testing construction–lexeme attraction in corpus-based construction grammar.,Current AI can run collexeme analysis pipelines fully automatically using existing R/Python implementations.,Full automation is already essentially achievable and will be standard practice within a decade.,"The task is a fully specified statistical test on corpus frequency tables, giving theoretical maximum replaceability of 10.",Stefanowitsch & Gries (2003) fully specify the Fisher's exact test procedure and association-strength ranking.,"Construction frequency, lexeme frequency, and corpus size are always reported in collexeme studies.",Fisher's exact test is deterministic given frequency inputs; collostruction strength rankings follow uniquely.,The collostructions R package and Python implementations execute the full collexeme analysis pipeline.,Minimal interpretive judgement needed for the statistical computation; construction-meaning interpretation is a downstream step.,Collostruction strength rankings can be exactly compared against published collexeme tables from the same corpus.,Systematically varying corpus size or construction definition maps sensitivity of collexeme rankings.,Automated numerical comparison of collostruction strength tables against published results keeps verification cost minimal.
