task,area of research,notable human research,1. Human Feasibility,2. Research Significance,3. Current AI Replaceability,4. AI Replaceability in 10 Years,5. Theoretical Maximum AI Replaceability,6. Specification Extractability,7. Parameter Explicitness,8. Execution Determinism,9. Tool-chain Maturity,10. Interpretive Judgement Load,11. Evaluation / Ground-Truth Availability,12. Robustness Tractability,13. Verification Cost,14. Human Feasibility - Explanation,15. Research Significance - Explanation,16. Current AI Replaceability - Explanation,17. AI Replaceability in 10 Years - Explanation,18. Theoretical Maximum AI Replaceability - Explanation,19. Specification Extractability - Explanation,20. Parameter Explicitness - Explanation,21. Execution Determinism - Explanation,22. Tool-chain Maturity - Explanation,23. Interpretive Judgement Load - Explanation,24. Evaluation / Ground-Truth Availability - Explanation,25. Robustness Tractability - Explanation,26. Verification Cost - Explanation
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",8,8,9,10,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",7,8,4,6,10,5,4,4,7,9,7,7,8,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI struggles with the nuanced contextual and cultural interpretation required for this meaning-driven analysis.,"While improving, highly subjective and deeply contextual human interpretation will remain challenging to fully automate.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Methodological descriptions for this task often lack explicit procedural steps, relying heavily on implicit researcher knowledge.",Authors often fail to explicitly document the qualitative coding criteria and subjective thresholds applied during the analysis.,"Execution relies on probabilistic models or subjective human judgment, meaning identical inputs rarely produce identical outputs.","Established scripts and packages are available, though they may require some custom configuration for this specific task.","The core of this task requires heavy contextual interpretation, theoretical reasoning, and qualitative human judgment.","Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Verifying the output requires extensive human time to manually re-read texts and audit complex qualitative coding decisions.
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",4,9,7,9,10,7,7,10,7,5,7,7,5,Human computation of complex multidimensional models or large-scale topic modelling is practically infeasible without computational tools.,This task forms the methodological core of highly influential and widely cited approaches in corpus linguistics.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
"Register comparison via MD dimension scores (e.g., Dimension 1: Involved vs. Informational)",Multi-Dimensional Analysis,"Biber, D., & Conrad, S. (2009). Register, genre, and style. Cambridge University Press.",8,9,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This task forms the methodological core of highly influential and widely cited approaches in corpus linguistics.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups),Corpus Phonology / Spoken Corpus,"Tottie, G. (2011). Uh and um as sociolinguistic markers in British English. International Journal of Corpus Linguistics, 16(2), 173–197.",7,8,9,10,10,7,7,10,9,2,9,9,2,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Turn-taking pattern frequency analysis (overlap and latency distributions),Corpus Phonology / Spoken Corpus,"Stivers, T., Enfield, N. J., Brown, P., Englert, C., Hayashi, M., Heinemann, T., … Levinson, S. C. (2009). Universals and cultural variation in turn-taking in conversation. PNAS, 106(26), 10587–10592.",8,8,9,10,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon),Sentiment / Stance Corpus,"Pennebaker, J. W., Boyd, R. L., Jordan, K., & Blackburn, K. (2015). The development and psychometric properties of LIWC2015. University of Texas at Austin.",8,8,9,10,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Epistemic stance marker frequency comparison (hedges and boosters across genres),Sentiment / Stance Corpus,"Hyland, K. (1998). Hedging in scientific research articles. John Benjamins.",8,8,4,6,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI struggles with the nuanced contextual and cultural interpretation required for this meaning-driven analysis.,"While improving, highly subjective and deeply contextual human interpretation will remain challenging to fully automate.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Lexical bundle extraction (Biber-style),Phraseology,"Biber, D., Conrad, S., & Cortes, V. (2004). If you look at…: Lexical bundles in university teaching and textbooks. Applied Linguistics, 25(3), 371–405.",7,9,9,10,10,7,7,10,7,5,7,7,5,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.",This task forms the methodological core of highly influential and widely cited approaches in corpus linguistics.,Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Phraseological frame profiling (p-frames / skipgrams),Phraseology,"Gray, B., & Biber, D. (2013). Lexical frames in academic prose and conversation. International Journal of Corpus Linguistics, 18(1), 109–136.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Colligation profiling,Grammar–Lexis Interface,"Hoey, M. (2005). Lexical priming: A new theory of words and language. Routledge.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
"Translation universals testing (simplification, explicitation, normalisation)",Corpus-Based Translation Studies,"Baker, M. (1993). Corpus linguistics and translation studies: Implications and applications. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 233–250). John Benjamins.",8,8,7,9,10,9,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","The parameters and thresholds for this task are usually explicitly stated in methodology sections, making extraction straightforward.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
TTR and MTLD comparison across text types,Lexical Richness / Variation,"McCarthy, P. M., & Jarvis, S. (2010). MTLD, vocd-D, and HD-D: A validation study of sophisticated approaches to lexical diversity assessment. Behavior Research Methods, 42(2), 381–392.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Automatic term extraction (C-value / NC-value),Terminology Extraction,"Frantzi, K., Ananiadou, S., & Mima, H. (2000). Automatic recognition of multi-word terms: The C-value/NC-value method. International Journal on Digital Libraries, 3(2), 115–130.",7,8,9,10,10,7,7,10,7,5,7,7,5,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
MIPVU metaphor identification on corpus data,Corpus-Based Metaphor Studies,"Steen, G. J., Dorst, A. G., Herrmann, J. B., Kaal, A. A., Krennmayr, T., & Pasma, T. (2010). A method for linguistic metaphor identification: From MIP to MIPVU. John Benjamins.",8,8,4,6,8,7,4,4,5,9,4,3,8,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI struggles with the nuanced contextual and cultural interpretation required for this meaning-driven analysis.,"While improving, highly subjective and deeply contextual human interpretation will remain challenging to fully automate.","Subjective interpretation of meaning and communicative intent inherently limits absolute, theoretically perfect AI replacement.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.",Authors often fail to explicitly document the qualitative coding criteria and subjective thresholds applied during the analysis.,"Execution relies on probabilistic models or subjective human judgment, meaning identical inputs rarely produce identical outputs.","Software tools exist for data management, but the core analytical steps lack mature, fully automated tool-chains.","The core of this task requires heavy contextual interpretation, theoretical reasoning, and qualitative human judgment.","Ground truth is highly subjective, making it difficult to objectively measure replication success without inter-rater reliability metrics.",Systematic parameter variation is computationally difficult because the task relies on rigid qualitative coding frameworks rather than numerical variables.,Verifying the output requires extensive human time to manually re-read texts and audit complex qualitative coding decisions.
LDA topic modelling for corpus exploration,Computational Corpus Exploration,"Brookes, G., & McEnery, T. (2019). The utility of topic modelling for discourse studies: A critical evaluation. Discourse Studies, 21(1), 3–21.",4,8,7,9,10,7,7,4,7,5,7,7,5,Human computation of complex multidimensional models or large-scale topic modelling is practically infeasible without computational tools.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.","Execution relies on probabilistic models or subjective human judgment, meaning identical inputs rarely produce identical outputs.","Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Effect-size-based keyness meta-analysis (Log Ratio / %DIFF),Keyness Meta-Analysis,"Hardie, A. (2014). Log Ratio: An informal introduction [Blog post]. ESRC Centre for Corpus Approaches to Social Science (CASS).",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Register-feature co-occurrence network analysis,Register / Genre Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",7,8,7,9,10,7,7,10,7,5,7,7,5,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Collexeme analysis (construction–lexeme attraction),Collostructional Analysis,"Stefanowitsch, A., & Gries, S. Th. (2003). Collostructions: Investigating the interaction of words and constructions. International Journal of Corpus Linguistics, 8(2), 209–243.",8,9,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This task forms the methodological core of highly influential and widely cited approaches in corpus linguistics.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Distinctive collexeme analysis (near-synonymous construction comparison),Collostructional Analysis,"Gries, S. Th., & Stefanowitsch, A. (2004). Extending collostructional analysis: A corpus-based perspective on 'alternations'. International Journal of Corpus Linguistics, 9(1), 97–129.",8,9,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,This task forms the methodological core of highly influential and widely cited approaches in corpus linguistics.,Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Behavioural profile analysis (polysemy clustering via ID tags),Corpus-Based Cognitive Linguistics,"Gries, S. Th., & Divjak, D. (2009). Behavioral profiles: A corpus-based approach to cognitive semantic analysis. In V. Evans & S. Pourcel (Eds.), New directions in cognitive linguistics (pp. 57–75). John Benjamins.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Idiolectal style marker profiling,Forensic Linguistics,"Grant, T. (2013). TXT 4N6: Method, consistency, and distinctiveness in the analysis of SMS text messages. Journal of Law and Policy, 21(2), 467–494.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Speech-act frequency profiling in spoken corpora,Corpus Pragmatics,"Aijmer, K., & Rühlemann, C. (Eds.). (2015). Corpus pragmatics: A handbook. Cambridge University Press.",7,8,9,10,10,7,7,10,9,2,9,9,2,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
