task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon),Sentiment / Stance Corpus,"Pennebaker, J. W., Boyd, R. L., Jordan, K., & Blackburn, K. (2015). The development and psychometric properties of LIWC2015. University of Texas at Austin.",8,7,9,10,10,9,8,10,9,2,8,9,3,Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) is likely to become almost fully automatable under ordinary research conditions.","In principle, Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) should return the same output on repeated runs.",Established corpus or NLP software can already execute Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) end to end with relatively little custom engineering.,Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Epistemic stance marker frequency comparison (hedges and boosters across genres),Sentiment / Stance Corpus,"Hyland, K. (1998). Hedging in scientific research articles. John Benjamins.",8,8,9,10,10,9,8,10,9,3,8,9,3,Epistemic stance marker frequency comparison is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Epistemic stance marker frequency comparison is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Epistemic stance marker frequency comparison once the corpus, preprocessing, and parameters are specified.","Over the next decade, Epistemic stance marker frequency comparison is likely to become almost fully automatable under ordinary research conditions.","In principle, Epistemic stance marker frequency comparison could be almost completely automated if perfect models and tooling were available.",Published descriptions of Epistemic stance marker frequency comparison are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Epistemic stance marker frequency comparison usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Epistemic stance marker frequency comparison should return the same output on repeated runs.",Established corpus or NLP software can already execute Epistemic stance marker frequency comparison end to end with relatively little custom engineering.,Epistemic stance marker frequency comparison is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Epistemic stance marker frequency comparison can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Epistemic stance marker frequency comparison lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Epistemic stance marker frequency comparison can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Lexical bundle extraction (Biber-style),Phraseology,"Biber, D., Conrad, S., & Cortes, V. (2004). If you look at…: Lexical bundles in university teaching and textbooks. Applied Linguistics, 25(3), 371–405.",8,8,10,10,10,9,8,10,9,2,8,9,3,Lexical bundle extraction (Biber-style) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Lexical bundle extraction (Biber-style) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Lexical bundle extraction (Biber-style) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Lexical bundle extraction (Biber-style) is likely to become almost fully automatable under ordinary research conditions.","In principle, Lexical bundle extraction (Biber-style) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Lexical bundle extraction (Biber-style) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Lexical bundle extraction (Biber-style) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Lexical bundle extraction (Biber-style) should return the same output on repeated runs.",Established corpus or NLP software can already execute Lexical bundle extraction (Biber-style) end to end with relatively little custom engineering.,Lexical bundle extraction (Biber-style) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Lexical bundle extraction (Biber-style) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Lexical bundle extraction (Biber-style) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Lexical bundle extraction (Biber-style) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Phraseological frame profiling (p-frames / skipgrams),Phraseology,"Gray, B., & Biber, D. (2013). Lexical frames in academic prose and conversation. International Journal of Corpus Linguistics, 18(1), 109–136.",7,8,9,10,10,9,8,10,9,2,8,9,3,"Phraseological frame profiling (p-frames / skipgrams) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Phraseological frame profiling (p-frames / skipgrams) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Phraseological frame profiling (p-frames / skipgrams) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Phraseological frame profiling (p-frames / skipgrams) is likely to become almost fully automatable under ordinary research conditions.","In principle, Phraseological frame profiling (p-frames / skipgrams) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Phraseological frame profiling (p-frames / skipgrams) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Phraseological frame profiling (p-frames / skipgrams) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Phraseological frame profiling (p-frames / skipgrams) should return the same output on repeated runs.",Established corpus or NLP software can already execute Phraseological frame profiling (p-frames / skipgrams) end to end with relatively little custom engineering.,Phraseological frame profiling (p-frames / skipgrams) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Phraseological frame profiling (p-frames / skipgrams) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Phraseological frame profiling (p-frames / skipgrams) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Phraseological frame profiling (p-frames / skipgrams) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Colligation profiling,Grammar–Lexis Interface,"Hoey, M. (2005). Lexical priming: A new theory of words and language. Routledge.",5,8,5,7,8,6,5,6,6,8,5,5,7,"Colligation profiling is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Colligation profiling is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Colligation profiling but still benefits from human oversight on setup or interpretation.,"Over the next decade, AI should handle more of Colligation profiling but humans will still matter for boundary cases.","Even under idealized conditions, Colligation profiling would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Colligation profiling, but important steps are often implicit or scattered across the paper.",Papers on Colligation profiling often report some needed parameters but still leave consequential settings underspecified.,"Colligation profiling is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Colligation profiling, but researchers still need some bespoke scripting or manual intervention.",Colligation profiling requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"Colligation profiling offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Colligation profiling, but meaningful variations still require nontrivial analyst decisions.",Checking AI output for Colligation profiling requires a moderate human audit rather than a quick spot-check.
"Translation universals testing (simplification, explicitation, normalisation)",Corpus-Based Translation Studies,"Baker, M. (1993). Corpus linguistics and translation studies: Implications and applications. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 233–250). John Benjamins.",6,8,5,7,8,7,6,6,6,7,5,6,7,"Translation universals testing (simplification, explicitation, normalisation) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.","Translation universals testing (simplification, explicitation, normalisation) is a core method that can materially affect the study's substantive conclusions.","Today's AI can assist heavily with Translation universals testing (simplification, explicitation, normalisation) but still benefits from human oversight on setup or interpretation.","Over the next decade, AI should handle more of Translation universals testing (simplification, explicitation, normalisation) but humans will still matter for boundary cases.","Even under idealized conditions, Translation universals testing (simplification, explicitation, normalisation) would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Translation universals testing (simplification, explicitation, normalisation), but important steps are often implicit or scattered across the paper.","Papers on Translation universals testing (simplification, explicitation, normalisation) often report some needed parameters but still leave consequential settings underspecified.","Translation universals testing (simplification, explicitation, normalisation) is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Translation universals testing (simplification, explicitation, normalisation), but researchers still need some bespoke scripting or manual intervention.","Translation universals testing (simplification, explicitation, normalisation) mixes formal computation with meaningful human judgement about modeling or interpretation.","Translation universals testing (simplification, explicitation, normalisation) offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Translation universals testing (simplification, explicitation, normalisation), but meaningful variations still require nontrivial analyst decisions.","Checking AI output for Translation universals testing (simplification, explicitation, normalisation) requires a moderate human audit rather than a quick spot-check."
TTR and MTLD comparison across text types,Lexical Richness / Variation,"McCarthy, P. M., & Jarvis, S. (2010). MTLD, vocd-D, and HD-D: A validation study of sophisticated approaches to lexical diversity assessment. Behavior Research Methods, 42(2), 381–392.",8,7,10,10,10,9,8,10,9,2,8,9,3,TTR and MTLD comparison across text types is straightforward for a human analyst with standard corpus tools and limited manual judgement.,TTR and MTLD comparison across text types is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of TTR and MTLD comparison across text types once the corpus, preprocessing, and parameters are specified.","Over the next decade, TTR and MTLD comparison across text types is likely to become almost fully automatable under ordinary research conditions.","In principle, TTR and MTLD comparison across text types could be almost completely automated if perfect models and tooling were available.",Published descriptions of TTR and MTLD comparison across text types are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on TTR and MTLD comparison across text types usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, TTR and MTLD comparison across text types should return the same output on repeated runs.",Established corpus or NLP software can already execute TTR and MTLD comparison across text types end to end with relatively little custom engineering.,TTR and MTLD comparison across text types is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for TTR and MTLD comparison across text types can be checked against published counts, rankings, or model outputs with fairly objective criteria.",TTR and MTLD comparison across text types lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for TTR and MTLD comparison across text types can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Automatic term extraction (C-value / NC-value),Terminology Extraction,"Frantzi, K., Ananiadou, S., & Mima, H. (2000). Automatic recognition of multi-word terms: The C-value/NC-value method. International Journal on Digital Libraries, 3(2), 115–130.",8,8,9,10,10,9,8,10,8,2,8,9,3,Automatic term extraction (C-value / NC-value) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Automatic term extraction (C-value / NC-value) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Automatic term extraction (C-value / NC-value) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Automatic term extraction (C-value / NC-value) is likely to become almost fully automatable under ordinary research conditions.","In principle, Automatic term extraction (C-value / NC-value) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Automatic term extraction (C-value / NC-value) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Automatic term extraction (C-value / NC-value) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Automatic term extraction (C-value / NC-value) should return the same output on repeated runs.",Established corpus or NLP software can already execute Automatic term extraction (C-value / NC-value) end to end with relatively little custom engineering.,Automatic term extraction (C-value / NC-value) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Automatic term extraction (C-value / NC-value) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Automatic term extraction (C-value / NC-value) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Automatic term extraction (C-value / NC-value) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
MIPVU metaphor identification on corpus data,Corpus-Based Metaphor Studies,"Steen, G. J., Dorst, A. G., Herrmann, J. B., Kaal, A. A., Krennmayr, T., & Pasma, T. (2010). A method for linguistic metaphor identification: From MIP to MIPVU. John Benjamins.",4,7,2,5,6,5,3,2,3,10,3,2,9,MIPVU metaphor identification on corpus data is possible for a human analyst but is labor-intensive and technically demanding to carry out reliably.,MIPVU metaphor identification on corpus data is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI struggles to fully replace humans on MIPVU metaphor identification on corpus data because qualitative judgement remains central.,"Over the next decade, AI should handle more of MIPVU metaphor identification on corpus data but humans will still matter for boundary cases.","Even under idealized conditions, MIPVU metaphor identification on corpus data would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for MIPVU metaphor identification on corpus data, but important steps are often implicit or scattered across the paper.",Reports of MIPVU metaphor identification on corpus data often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,MIPVU metaphor identification on corpus data depends enough on human coding or unstable choices that identical-seeming replications may diverge.,MIPVU metaphor identification on corpus data lacks a consistently mature end-to-end tool chain and still relies on substantial handcrafted work.,MIPVU metaphor identification on corpus data requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"For MIPVU metaphor identification on corpus data, there is limited objective ground truth beyond expert agreement or broad qualitative similarity.",MIPVU metaphor identification on corpus data is hard to probe systematically because varying assumptions quickly changes the coding frame itself.,Auditing AI output for MIPVU metaphor identification on corpus data would take substantial human time because close reading or re-coding is needed.
LDA topic modelling for corpus exploration,Computational Corpus Exploration,"Brookes, G., & McEnery, T. (2019). The utility of topic modelling for discourse studies: A critical evaluation. Discourse Studies, 21(1), 3–21.",5,7,7,8,9,7,6,6,8,7,5,8,6,"LDA topic modelling for corpus exploration is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",LDA topic modelling for corpus exploration is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI can assist heavily with LDA topic modelling for corpus exploration but still benefits from human oversight on setup or interpretation.,"Over the next decade, LDA topic modelling for corpus exploration is likely to become almost fully automatable under ordinary research conditions.","In principle, LDA topic modelling for corpus exploration could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for LDA topic modelling for corpus exploration, but important steps are often implicit or scattered across the paper.",Papers on LDA topic modelling for corpus exploration often report some needed parameters but still leave consequential settings underspecified.,"LDA topic modelling for corpus exploration is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.",Established corpus or NLP software can already execute LDA topic modelling for corpus exploration end to end with relatively little custom engineering.,LDA topic modelling for corpus exploration mixes formal computation with meaningful human judgement about modeling or interpretation.,"LDA topic modelling for corpus exploration offers some objective checks, but exact success is only partly measurable against the published result.",LDA topic modelling for corpus exploration lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for LDA topic modelling for corpus exploration requires a moderate human audit rather than a quick spot-check.
Effect-size-based keyness meta-analysis (Log Ratio / %DIFF),Keyness Meta-Analysis,"Hardie, A. (2014). Log Ratio: An informal introduction [Blog post]. ESRC Centre for Corpus Approaches to Social Science (CASS).",7,8,9,10,10,9,8,10,8,2,8,9,3,"Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) is likely to become almost fully automatable under ordinary research conditions.","In principle, Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) should return the same output on repeated runs.",Established corpus or NLP software can already execute Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) end to end with relatively little custom engineering.,Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Effect-size-based keyness meta-analysis (Log Ratio / %DIFF) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Register-feature co-occurrence network analysis,Register / Genre Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",4,7,6,8,9,6,5,7,7,6,5,7,6,Register-feature co-occurrence network analysis is possible for a human analyst but is labor-intensive and technically demanding to carry out reliably.,Register-feature co-occurrence network analysis is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI can assist heavily with Register-feature co-occurrence network analysis but still benefits from human oversight on setup or interpretation.,"Over the next decade, Register-feature co-occurrence network analysis is likely to become almost fully automatable under ordinary research conditions.","In principle, Register-feature co-occurrence network analysis could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Register-feature co-occurrence network analysis, but important steps are often implicit or scattered across the paper.",Papers on Register-feature co-occurrence network analysis often report some needed parameters but still leave consequential settings underspecified.,"Register-feature co-occurrence network analysis is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Register-feature co-occurrence network analysis, but researchers still need some bespoke scripting or manual intervention.",Register-feature co-occurrence network analysis mixes formal computation with meaningful human judgement about modeling or interpretation.,"Register-feature co-occurrence network analysis offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Register-feature co-occurrence network analysis, but meaningful variations still require nontrivial analyst decisions.",Checking AI output for Register-feature co-occurrence network analysis requires a moderate human audit rather than a quick spot-check.
Collexeme analysis (construction–lexeme attraction),Collostructional Analysis,"Stefanowitsch, A., & Gries, S. Th. (2003). Collostructions: Investigating the interaction of words and constructions. International Journal of Corpus Linguistics, 8(2), 209–243.",6,8,8,10,10,7,7,10,7,2,8,9,3,"Collexeme analysis (construction–lexeme attraction) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Collexeme analysis (construction–lexeme attraction) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Collexeme analysis (construction–lexeme attraction) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Collexeme analysis (construction–lexeme attraction) is likely to become almost fully automatable under ordinary research conditions.","In principle, Collexeme analysis (construction–lexeme attraction) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Collexeme analysis (construction–lexeme attraction), but important steps are often implicit or scattered across the paper.",Papers on Collexeme analysis (construction–lexeme attraction) often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Collexeme analysis (construction–lexeme attraction) should return the same output on repeated runs.","There are workable tools for Collexeme analysis (construction–lexeme attraction), but researchers still need some bespoke scripting or manual intervention.",Collexeme analysis (construction–lexeme attraction) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Collexeme analysis (construction–lexeme attraction) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Collexeme analysis (construction–lexeme attraction) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Collexeme analysis (construction–lexeme attraction) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Distinctive collexeme analysis (near-synonymous construction comparison),Collostructional Analysis,"Gries, S. Th., & Stefanowitsch, A. (2004). Extending collostructional analysis: A corpus-based perspective on 'alternations'. International Journal of Corpus Linguistics, 9(1), 97–129.",6,8,8,10,10,7,7,10,7,2,8,9,3,"Distinctive collexeme analysis (near-synonymous construction comparison) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Distinctive collexeme analysis (near-synonymous construction comparison) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Distinctive collexeme analysis (near-synonymous construction comparison) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Distinctive collexeme analysis (near-synonymous construction comparison) is likely to become almost fully automatable under ordinary research conditions.","In principle, Distinctive collexeme analysis (near-synonymous construction comparison) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Distinctive collexeme analysis (near-synonymous construction comparison), but important steps are often implicit or scattered across the paper.",Papers on Distinctive collexeme analysis (near-synonymous construction comparison) often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Distinctive collexeme analysis (near-synonymous construction comparison) should return the same output on repeated runs.","There are workable tools for Distinctive collexeme analysis (near-synonymous construction comparison), but researchers still need some bespoke scripting or manual intervention.",Distinctive collexeme analysis (near-synonymous construction comparison) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Distinctive collexeme analysis (near-synonymous construction comparison) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Distinctive collexeme analysis (near-synonymous construction comparison) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Distinctive collexeme analysis (near-synonymous construction comparison) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Behavioural profile analysis (polysemy clustering via ID tags),Corpus-Based Cognitive Linguistics,"Gries, S. Th., & Divjak, D. (2009). Behavioral profiles: A corpus-based approach to cognitive semantic analysis. In V. Evans & S. Pourcel (Eds.), New directions in cognitive linguistics (pp. 57–75). John Benjamins.",5,7,4,6,7,5,4,5,5,8,4,4,8,"Behavioural profile analysis (polysemy clustering via ID tags) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Behavioural profile analysis (polysemy clustering via ID tags) is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI struggles to fully replace humans on Behavioural profile analysis (polysemy clustering via ID tags) because qualitative judgement remains central.,"Over the next decade, AI should handle more of Behavioural profile analysis (polysemy clustering via ID tags) but humans will still matter for boundary cases.","Even under idealized conditions, Behavioural profile analysis (polysemy clustering via ID tags) would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Behavioural profile analysis (polysemy clustering via ID tags), but important steps are often implicit or scattered across the paper.",Reports of Behavioural profile analysis (polysemy clustering via ID tags) often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,"Behavioural profile analysis (polysemy clustering via ID tags) is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Behavioural profile analysis (polysemy clustering via ID tags), but researchers still need some bespoke scripting or manual intervention.",Behavioural profile analysis (polysemy clustering via ID tags) requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"For Behavioural profile analysis (polysemy clustering via ID tags), there is limited objective ground truth beyond expert agreement or broad qualitative similarity.",Behavioural profile analysis (polysemy clustering via ID tags) is hard to probe systematically because varying assumptions quickly changes the coding frame itself.,Auditing AI output for Behavioural profile analysis (polysemy clustering via ID tags) would take substantial human time because close reading or re-coding is needed.
Idiolectal style marker profiling,Forensic Linguistics,"Grant, T. (2013). TXT 4N6: Method, consistency, and distinctiveness in the analysis of SMS text messages. Journal of Law and Policy, 21(2), 467–494.",5,8,5,7,8,6,5,6,6,7,5,5,7,"Idiolectal style marker profiling is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Idiolectal style marker profiling is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Idiolectal style marker profiling but still benefits from human oversight on setup or interpretation.,"Over the next decade, AI should handle more of Idiolectal style marker profiling but humans will still matter for boundary cases.","Even under idealized conditions, Idiolectal style marker profiling would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Idiolectal style marker profiling, but important steps are often implicit or scattered across the paper.",Papers on Idiolectal style marker profiling often report some needed parameters but still leave consequential settings underspecified.,"Idiolectal style marker profiling is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Idiolectal style marker profiling, but researchers still need some bespoke scripting or manual intervention.",Idiolectal style marker profiling mixes formal computation with meaningful human judgement about modeling or interpretation.,"Idiolectal style marker profiling offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Idiolectal style marker profiling, but meaningful variations still require nontrivial analyst decisions.",Checking AI output for Idiolectal style marker profiling requires a moderate human audit rather than a quick spot-check.
Speech-act frequency profiling in spoken corpora,Corpus Pragmatics,"Aijmer, K., & Rühlemann, C. (Eds.). (2015). Corpus pragmatics: A handbook. Cambridge University Press.",5,7,4,6,7,5,4,4,4,9,4,3,8,"Speech-act frequency profiling in spoken corpora is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Speech-act frequency profiling in spoken corpora is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI struggles to fully replace humans on Speech-act frequency profiling in spoken corpora because qualitative judgement remains central.,"Over the next decade, AI should handle more of Speech-act frequency profiling in spoken corpora but humans will still matter for boundary cases.","Even under idealized conditions, Speech-act frequency profiling in spoken corpora would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Speech-act frequency profiling in spoken corpora, but important steps are often implicit or scattered across the paper.",Reports of Speech-act frequency profiling in spoken corpora often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,Speech-act frequency profiling in spoken corpora depends enough on human coding or unstable choices that identical-seeming replications may diverge.,Speech-act frequency profiling in spoken corpora lacks a consistently mature end-to-end tool chain and still relies on substantial handcrafted work.,Speech-act frequency profiling in spoken corpora requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"For Speech-act frequency profiling in spoken corpora, there is limited objective ground truth beyond expert agreement or broad qualitative similarity.",Speech-act frequency profiling in spoken corpora is hard to probe systematically because varying assumptions quickly changes the coding frame itself.,Auditing AI output for Speech-act frequency profiling in spoken corpora would take substantial human time because close reading or re-coding is needed.
